game_id,season_id,year,phase,group,date,started_at,ended_at,location,innings,audience,status,finished_status,home_team,home_team_id,away_team,away_team_id,home_runs,away_runs,home_hits,away_hits,home_errors,away_errors,home_scores,away_scores,winner_side,home_win
OcarC,CPBL-2026-oB,2026,一軍,例行賽,2026-05-16,2026-05-16 17:05,2026-05-16 19:31,臺北市立天母棒球場,9,,FINISHED,NORMAL,味全龍,GJ5tu,樂天桃猿,b7yJt,3,1,8,6,1,0,"2,1,0,0,0,0,0,0,0","0,0,0,0,1,0,0,0,0",HOME,1
tNRvn,CPBL-2026-oB,2026,一軍,例行賽,2026-05-16,2026-05-16 16:05,2026-05-16 18:28,亞太國際棒球訓練中心-主球場,9,,FINISHED,NORMAL,統一7-ELEVEn獅,NsGzj,中信兄弟,RAe8S,0,1,7,7,0,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,1,0,0,0",AWAY,0
5VI0o,CPBL-2026-oB,2026,一軍,例行賽,2026-05-15,2026-05-15 18:35,2026-05-15 21:07,新北市立新莊棒球場,9,,FINISHED,NORMAL,富邦悍將,H0zzP,台鋼雄鷹,UuZ3x,3,1,5,4,0,0,"1,0,0,1,0,0,0,1,0","0,0,0,0,0,0,1,0,0",HOME,1
5MVVm,CPBL-2026-oB,2026,一軍,例行賽,2026-05-15,2026-05-15 18:35,2026-05-15 21:31,臺北市立天母棒球場,9,,FINISHED,NORMAL,味全龍,GJ5tu,樂天桃猿,b7yJt,3,1,7,9,0,0,"0,0,1,0,0,0,0,2,0","0,0,0,0,0,1,0,0,0",HOME,1
bvKOH,CPBL-2026-oB,2026,一軍,例行賽,2026-05-15,2026-05-15 18:35,2026-05-15 21:50,亞太國際棒球訓練中心-主球場,9,,FINISHED,NORMAL,統一7-ELEVEn獅,NsGzj,中信兄弟,RAe8S,4,7,7,11,2,0,"0,0,0,2,0,0,2,0,0","0,0,0,0,2,2,1,0,2",AWAY,0
VxdTV,CPBL-2026-oB,2026,一軍,例行賽,2026-05-14,2026-05-14 18:35,2026-05-14 21:28,澄清湖棒球場,9,,FINISHED,NORMAL,台鋼雄鷹,UuZ3x,樂天桃猿,b7yJt,3,2,11,6,0,0,"0,0,2,0,0,0,0,0,1","0,0,0,0,0,0,0,2,0",HOME,1
cdjBA,CPBL-2026-oB,2026,一軍,例行賽,2026-05-13,2026-05-13 18:35,2026-05-13 21:21,嘉義市立棒球場,9,,FINISHED,NORMAL,台鋼雄鷹,UuZ3x,樂天桃猿,b7yJt,1,3,3,8,2,0,"0,1,0,0,0,0,0,0,0","0,0,0,0,0,3,0,0,0",AWAY,0
BSRnd,CPBL-2026-oB,2026,一軍,例行賽,2026-05-13,2026-05-13 18:35,2026-05-13 21:59,臺中市洲際棒球場,9,,FINISHED,NORMAL,中信兄弟,RAe8S,富邦悍將,H0zzP,2,17,11,18,0,1,"2,0,0,0,0,0,0,0,0","13,1,0,0,0,0,0,2,1",AWAY,0
iZ5KQ,CPBL-2026-oB,2026,一軍,例行賽,2026-05-13,2026-05-13 18:35,2026-05-13 21:07,亞太國際棒球訓練中心-主球場,9,,FINISHED,NORMAL,統一7-ELEVEn獅,NsGzj,味全龍,GJ5tu,2,1,5,4,0,1,"0,0,2,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0",HOME,1
CDc0Y,CPBL-2026-oB,2026,一軍,例行賽,2026-05-12,2026-05-12 18:35,2026-05-12 21:37,亞太國際棒球訓練中心-主球場,9,,FINISHED,NORMAL,統一7-ELEVEn獅,NsGzj,味全龍,GJ5tu,5,3,12,10,1,3,"0,1,1,3,0,0,0,0,0","0,0,0,2,1,0,0,0,0",HOME,1
